index,bin,src_image,variant,min,max
186,input_0186.bin,0093.jpg,full,8,246
187,input_0187.bin,0093.jpg,crop,15,255
188,input_0188.bin,0094.jpg,full,8,249
189,input_0189.bin,0094.jpg,crop,8,86
190,input_0190.bin,0095.jpg,full,3,255
191,input_0191.bin,0095.jpg,crop,2,174
192,input_0192.bin,0096.jpg,full,0,114
193,input_0193.bin,0096.jpg,crop,0,217
194,input_0194.bin,0097.jpg,full,2,255
195,input_0195.bin,0097.jpg,crop,10,255
196,input_0196.bin,0098.jpg,full,0,177
197,input_0197.bin,0098.jpg,crop,0,230
198,input_0198.bin,0099.jpg,full,1,179
199,input_0199.bin,0099.jpg,crop,9,248
200,input_0200.bin,0100.jpg,full,4,231
201,input_0201.bin,0100.jpg,crop,13,203
202,input_0202.bin,0101.jpg,full,1,229
203,input_0203.bin,0101.jpg,crop,3,232
204,input_0204.bin,0102.jpg,full,0,246
205,input_0205.bin,0102.jpg,crop,0,225
206,input_0206.bin,0103.jpg,full,2,234
207,input_0207.bin,0103.jpg,crop,1,252
208,input_0208.bin,0104.jpg,full,0,114
209,input_0209.bin,0104.jpg,crop,4,123
210,input_0210.bin,0105.jpg,full,0,114
211,input_0211.bin,0105.jpg,crop,0,248
212,input_0212.bin,0106.jpg,full,28,255
213,input_0213.bin,0106.jpg,crop,24,255
214,input_0214.bin,0107.jpg,full,2,153
215,input_0215.bin,0107.jpg,crop,1,154
216,input_0216.bin,0108.jpg,full,4,159
217,input_0217.bin,0108.jpg,crop,12,180
218,input_0218.bin,0109.jpg,full,1,114
219,input_0219.bin,0109.jpg,crop,114,114
220,input_0220.bin,0110.jpg,full,0,201
221,input_0221.bin,0110.jpg,crop,2,229
222,input_0222.bin,0111.jpg,full,1,254
223,input_0223.bin,0111.jpg,crop,7,193
224,input_0224.bin,0112.jpg,full,0,234
225,input_0225.bin,0112.jpg,crop,0,194
226,input_0226.bin,0113.jpg,full,7,255
227,input_0227.bin,0113.jpg,crop,4,255
228,input_0228.bin,0114.jpg,full,0,254
229,input_0229.bin,0114.jpg,crop,0,252
230,input_0230.bin,0115.jpg,full,5,179
231,input_0231.bin,0115.jpg,crop,152,176
232,input_0232.bin,0116.jpg,full,4,114
233,input_0233.bin,0116.jpg,crop,8,114
234,input_0234.bin,0117.jpg,full,8,244
235,input_0235.bin,0117.jpg,crop,6,195
236,input_0236.bin,0118.jpg,full,0,114
237,input_0237.bin,0118.jpg,crop,4,114
238,input_0238.bin,0119.jpg,full,4,212
239,input_0239.bin,0119.jpg,crop,12,251
240,input_0240.bin,0120.jpg,full,36,114
241,input_0241.bin,0120.jpg,crop,38,143
242,input_0242.bin,0121.jpg,full,3,180
243,input_0243.bin,0121.jpg,crop,12,166
244,input_0244.bin,0122.jpg,full,3,132
245,input_0245.bin,0122.jpg,crop,2,112
246,input_0246.bin,0123.jpg,full,3,114
247,input_0247.bin,0123.jpg,crop,8,64
248,input_0248.bin,0124.jpg,full,3,185
