index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
132,images_0132.bin,2337.jpg,1782,2000,42.65,0.288,127,0
133,images_0133.bin,2347.jpg,840,991,91.2,0.5812,140,0
134,images_0134.bin,2366.jpg,869,637,36.32,0.8838,0,6
135,images_0135.bin,2386.jpg,1920,1080,75.75,0.4,0,72
136,images_0136.bin,2409.jpg,640,384,137.41,1.2,0,57
137,images_0137.bin,2433.jpg,1951,1956,53.75,0.2945,96,0
138,images_0138.bin,2446.jpg,720,432,28.87,1.0667,0,57
139,images_0139.bin,2452.jpg,640,384,40.26,1.2,0,57
140,images_0140.bin,2468.jpg,720,432,13.71,1.0667,0,57
141,images_0141.bin,2473.jpg,503,581,96.18,0.9914,134,0
142,images_0142.bin,2494.jpg,640,384,58.76,1.2,0,57
143,images_0143.bin,2503.jpg,640,384,35.96,1.2,0,57
144,images_0144.bin,2546.jpg,640,384,38.85,1.2,0,57
145,images_0145.bin,2563.jpg,1280,768,64.85,0.6,0,57
146,images_0146.bin,2596.jpg,691,786,58.31,0.7328,131,0
147,images_0147.bin,2601.jpg,640,480,81.15,1.2,0,0
148,images_0148.bin,2640.jpg,640,384,44.77,1.2,0,57
149,images_0149.bin,2654.jpg,1920,1080,77.84,0.4,0,72
150,images_0150.bin,2675.jpg,640,384,21.58,1.2,0,57
151,images_0151.bin,2692.jpg,1280,768,49.29,0.6,0,57
152,images_0152.bin,2698.jpg,1280,768,55.74,0.6,0,57
153,images_0153.bin,2712.jpg,640,384,108.08,1.2,0,57
154,images_0154.bin,2725.jpg,640,384,24.35,1.2,0,57
155,images_0155.bin,2742.jpg,640,384,8.98,1.2,0,57
156,images_0156.bin,2755.jpg,640,384,32.77,1.2,0,57
157,images_0157.bin,2765.jpg,1734,1194,62.85,0.4429,0,23
158,images_0158.bin,2770.jpg,640,384,29.24,1.2,0,57
159,images_0159.bin,2793.jpg,640,384,83.2,1.2,0,57
160,images_0160.bin,2827.jpg,640,384,31.13,1.2,0,57
161,images_0161.bin,2831.jpg,1280,768,74.38,0.6,0,57
162,images_0162.bin,2877.jpg,777,1028,99.9,0.5603,166,0
163,images_0163.bin,2885.jpg,640,384,42.35,1.2,0,57
164,images_0164.bin,2905.jpg,640,384,77.11,1.2,0,57
165,images_0165.bin,2934.jpg,640,384,48.76,1.2,0,57
166,images_0166.bin,2960.jpg,484,663,97.05,0.8688,174,0
167,images_0167.bin,2962.jpg,640,384,130.52,1.2,0,57
168,images_0168.bin,2994.jpg,640,384,56.55,1.2,0,57
169,images_0169.bin,3000.jpg,640,384,7.87,1.2,0,57
170,images_0170.bin,3020.jpg,640,384,49.91,1.2,0,57
171,images_0171.bin,3037.jpg,1280,768,92.13,0.6,0,57
172,images_0172.bin,3046.jpg,1189,2000,57.94,0.288,213,0
173,images_0173.bin,3051.jpg,720,432,29.95,1.0667,0,57
174,images_0174.bin,3059.jpg,1357,1411,41.24,0.4082,107,0
175,images_0175.bin,3095.jpg,640,384,61.33,1.2,0,57
176,images_0176.bin,3133.jpg,640,384,36.15,1.2,0,57
177,images_0177.bin,3136.jpg,1531,1225,102.58,0.4702,24,0
178,images_0178.bin,3162.jpg,720,432,61.44,1.0667,0,57
179,images_0179.bin,3191.jpg,1280,1024,22.85,0.5625,24,0
180,images_0180.bin,3194.jpg,640,384,206.17,1.2,0,57
181,images_0181.bin,3201.jpg,640,384,60.84,1.2,0,57
182,images_0182.bin,3202.jpg,1920,1080,48.79,0.4,0,72
183,images_0183.bin,3244.jpg,1280,768,75.83,0.6,0,57
184,images_0184.bin,3248.jpg,640,384,98.83,1.2,0,57
185,images_0185.bin,3302.jpg,366,545,32.36,1.0569,190,0
186,images_0186.bin,3307.jpg,720,432,59.72,1.0667,0,57
187,images_0187.bin,3326.jpg,566,556,108.07,1.036,91,0
188,images_0188.bin,3352.jpg,640,384,26.93,1.2,0,57
189,images_0189.bin,3359.jpg,1281,1644,62.77,0.3504,159,0
190,images_0190.bin,3400.jpg,640,384,44.91,1.2,0,57
191,images_0191.bin,3414.jpg,1652,1444,91.18,0.3989,54,0
192,images_0192.bin,3427.jpg,909,718,64.29,0.8022,19,0
193,images_0193.bin,3431.jpg,525,497,21.56,1.159,80,0
194,images_0194.bin,3459.jpg,720,432,42.65,1.0667,0,57
195,images_0195.bin,3467.jpg,640,384,5.57,1.2,0,57
196,images_0196.bin,3468.jpg,640,384,128.57,1.2,0,57
197,images_0197.bin,3495.jpg,1219,1118,75.65,0.5152,70,0
198,images_0198.bin,3501.jpg,1172,969,49.76,0.5944,35,0
199,images_0199.bin,3502.jpg,1920,1080,86.55,0.4,0,72
