index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
173,image_0173.bin,3051.jpg,720,432,29.95,0.8889,0,0
174,image_0174.bin,3059.jpg,1357,1411,41.24,0.4716,0,0
175,image_0175.bin,3095.jpg,640,384,61.33,1.0,0,0
176,image_0176.bin,3133.jpg,640,384,36.15,1.0,0,0
177,image_0177.bin,3136.jpg,1531,1225,102.58,0.418,0,0
178,image_0178.bin,3162.jpg,720,432,61.44,0.8889,0,0
179,image_0179.bin,3191.jpg,1280,1024,22.85,0.5,0,0
180,image_0180.bin,3194.jpg,640,384,206.17,1.0,0,0
181,image_0181.bin,3201.jpg,640,384,60.84,1.0,0,0
182,image_0182.bin,3202.jpg,1920,1080,48.79,0.3333,0,0
183,image_0183.bin,3244.jpg,1280,768,75.83,0.5,0,0
184,image_0184.bin,3248.jpg,640,384,98.83,1.0,0,0
185,image_0185.bin,3302.jpg,366,545,32.36,1.7486,0,0
186,image_0186.bin,3307.jpg,720,432,59.72,0.8889,0,0
187,image_0187.bin,3326.jpg,566,556,108.07,1.1307,0,0
188,image_0188.bin,3352.jpg,640,384,26.93,1.0,0,0
189,image_0189.bin,3359.jpg,1281,1644,62.77,0.4996,0,0
190,image_0190.bin,3400.jpg,640,384,44.91,1.0,0,0
191,image_0191.bin,3414.jpg,1652,1444,91.18,0.3874,0,0
192,image_0192.bin,3427.jpg,909,718,64.29,0.7041,0,0
193,image_0193.bin,3431.jpg,525,497,21.56,1.219,0,0
194,image_0194.bin,3459.jpg,720,432,42.65,0.8889,0,0
195,image_0195.bin,3467.jpg,640,384,5.57,1.0,0,0
196,image_0196.bin,3468.jpg,640,384,128.57,1.0,0,0
197,image_0197.bin,3495.jpg,1219,1118,75.65,0.525,0,0
198,image_0198.bin,3501.jpg,1172,969,49.76,0.5461,0,0
199,image_0199.bin,3502.jpg,1920,1080,86.55,0.3333,0,0
